[10171, 391.0]	"worst"
[10188, 352.0]	"rude"
[10197, 136.0]	"disgusting"
[10206, 281.0]	"awful"
[10211, 108.0]	"subpar"
[10212, 100.0]	"poorly"
[10215, 467.0]	"terrible"
[10216, 249.0]	"worse"
[10216, 284.0]	"horrible"
[10217, 159.0]	"tasteless"
[10220, 110.0]	"zero"
[10227, 107.0]	"stale"
[10227, 380.0]	"poor"
[10229, 101.0]	"mcdonalds"
[10236, 175.0]	"waste"
[10238, 217.0]	"attitude"
[10241, 116.0]	"properly"
[10241, 375.0]	"mediocre"
[10241, 404.0]	"manager"
[10243, 100.0]	"upset"
[10244, 191.0]	"charged"
[10246, 374.0]	"dirty"
[10247, 109.0]	"rolands"
[10247, 166.0]	"ridiculous"
[10247, 171.0]	"shame"
[10247, 203.0]	"gross"
[10250, 155.0]	"boring"
[10252, 296.0]	"disappointing"
[10253, 124.0]	"sucks"
[10253, 337.0]	"supposed"
[10254, 196.0]	"situation"
[10254, 214.0]	"overcooked"
[10255, 197.0]	"disappointment"
[10255, 444.0]	"overpriced"
[10256, 385.0]	"sorry"
[10256, 600.0]	"bland"
[10257, 152.0]	"management"
[10260, 227.0]	"meh"
[10261, 110.0]	"joke"
[10262, 270.0]	"soggy"
[10263, 145.0]	"min"
[10263, 161.0]	"employee"
[10263, 298.0]	"hostess"
[10264, 217.0]	"mistake"
[10265, 130.0]	"refill"
[10266, 299.0]	"barely"
[10267, 163.0]	"telling"
[10268, 212.0]	"nor"
[10270, 639.0]	"waited"
[10272, 322.0]	"sad"
[10274, 107.0]	"thrown"
[10274, 129.0]	"stood"
[10274, 387.0]	"paid"
[10275, 102.0]	"weak"
[10275, 124.0]	"excuse"
[10276, 108.0]	"mins"
[10276, 116.0]	"complaining"
[10276, 144.0]	"wouldve"
[10277, 241.0]	"bother"
[10278, 212.0]	"below"
[10278, 872.0]	"money"
[10279, 221.0]	"returned"
[10280, 140.0]	"mall"
[10280, 168.0]	"needless"
[10281, 194.0]	"fault"
[10281, 248.0]	"sadly"
[10282, 345.0]	"paying"
[10282, 441.0]	"received"
[10283, 176.0]	"dropped"
[10284, 188.0]	"hoping"
[10285, 117.0]	"acceptable"
[10285, 1435.0]	"told"
[10285, 197.0]	"wonder"
[10286, 103.0]	"continued"
[10286, 123.0]	"lacked"
[10286, 146.0]	"dead"
[10286, 1683.0]	"asked"
[10286, 373.0]	"clearly"
[10287, 178.0]	"sick"
[10288, 101.0]	"restroom"
[10289, 162.0]	"burnt"
[10289, 171.0]	"alright"
[10290, 122.0]	"pile"
[10290, 145.0]	"informed"
[10290, 151.0]	"neither"
[10290, 372.0]	"avoid"
